Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5017.4,4140.7,3742.6,2648.1,2417.3,2342.2,2072.9,2349,1649.6,2661.9,2245.6
Operating Expenses Qtr Cr,4523.2,3766.3,3476.2,2427,2184,2061.2,1845.7,2118.1,1523.2,2237.6,2142.9
Operating Profit Qtr Cr,433.3,343.5,223,185.4,206.7,234.1,202.2,198.9,97.8,368.4,82.9
Operating Profit Margin Qtr %,8.74%,8.36%,6.03%,7.10%,8.64%,10.20%,9.87%,8.58%,6.03%,14.14%,3.73%
Depreciation Qtr Cr,45.4,46.4,45.5,45.9,45.2,45.7,45.5,42.9,42.6,43.7,47.4
Interest Qtr Cr,50,50.6,26.6,16.9,30.6,35.7,36.8,48.9,56.3,80.3,40.9
Profit Before Tax Qtr Cr,398.9,277.6,194.3,158.4,284.8,204.4,145.1,139.2,27.5,200.1,14.4
Tax Qtr Cr,103.8,65.2,52.7,42.1,71.9,52.4,47,35.3,8.4,57.9,-64.3
Net Profit Qtr Cr,295.1,212.3,141.6,116.2,213,152,98.1,103.8,19.2,142.3,78.6
Basic EPS Qtr Rs,5.3,3.9,2.6,2.1,3.9,2.8,1.8,1.9,0.3,2.6,1.4
