Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,70.7,69.4,64.9,60.5,52.4,75.4,76.2,75.7,61.5,65.3,63.9
Operating Expenses Qtr Cr,66.8,58.5,56.4,54.7,50.8,66.6,57.3,59.2,49.5,51.8,55.8
Operating Profit Qtr Cr,-2,5.2,2.8,-4.6,-4.2,2.9,13.2,10.5,9.8,10.5,6
Operating Profit Margin Qtr %,-3.07%,8.19%,4.69%,-9.14%,-8.92%,4.14%,18.76%,15.03%,16.52%,16.92%,9.65%
Depreciation Qtr Cr,2.4,2.3,2.4,2.5,2.3,2.6,2.2,2.2,2.2,2.3,2.2
Interest Qtr Cr,0.4,0.6,0.6,0.3,0.2,0.2,0.6,0.7,1.1,1.2,1.2
Profit Before Tax Qtr Cr,1.2,8,5.5,3,-0.9,6,16.1,11,8.8,10.1,4.7
Tax Qtr Cr,0.3,1.4,1,-1.3,-0.3,1.4,3.9,1.8,1.9,3.2,1.8
Net Profit Qtr Cr,0.8,6.6,4.5,4.3,-0.6,4.6,12.2,9.2,6.9,6.8,2.9
Basic EPS Qtr Rs,0,0.3,0.2,0.2,0,0.2,0.5,0.4,0.3,0.3,0.1
