Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3274.8,3262.9,4027.8,4132.8,4097.1,3282.4,3827.7,3847.1,3173.7,3546.8,2999.5
Operating Expenses Qtr Cr,2299.8,2559,2914.8,2952.2,2871.9,2583.4,2735.4,2676.9,2183.3,2668.6,2489.3
Operating Profit Qtr Cr,857.4,387.6,1040,982.8,1145.5,649.7,996.1,1131,944.7,464.8,436.9
Operating Profit Margin Qtr %,27.16%,13.16%,26.30%,24.98%,28.51%,20.10%,26.70%,29.70%,30.20%,14.83%,14.93%
Depreciation Qtr Cr,107.5,116.8,133.9,139,137,137,134.6,140.8,143.7,160.4,143.1
Interest Qtr Cr,2.2,5.8,5.5,7.6,8,8.8,10.3,11.7,14.2,9.2,9.6
Profit Before Tax Qtr Cr,865.4,581.4,973.5,1034,1080.2,553.2,947.4,1017.6,832.5,708.5,357.5
Tax Qtr Cr,221.4,105.1,242.7,251.6,288.4,139.8,248.4,272,222.2,104,75.3
Net Profit Qtr Cr,759.2,653,730.8,782.4,791.8,413.4,698.9,745.6,610.3,604.6,282.2
Basic EPS Qtr Rs,8,8.1,9.1,9.7,9.8,5.1,8.7,9.2,7.6,7.5,3.5
