Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4751.8,8189.5,5227,5186.1,2976.3,7255.2,4536.7,3799.9,2086.4,5197.5,5830.5
Operating Expenses Qtr Cr,4841.9,6909.8,5046.7,5141.4,3375.3,8435.3,4631,4327.6,3049.8,5611.1,5350.6
Operating Profit Qtr Cr,-169.9,1151.9,89.2,-29.2,-474,-1264.3,-179.6,-632.5,-1058.9,-561.7,328.7
Operating Profit Margin Qtr %,-3.64%,14.29%,1.74%,-0.57%,-16.34%,-17.63%,-4.03%,-17.12%,-53.19%,-11.13%,5.79%
Depreciation Qtr Cr,66.7,86,74.1,42.8,111.2,126.6,112.8,115.2,118.5,154.3,114.5
Interest Qtr Cr,97.9,95.6,86,89.6,83.6,78.2,85.8,94.5,114.5,141.2,139.1
Profit Before Tax Qtr Cr,-254.7,1098.2,20.2,-87.6,-593.9,-1384.9,-292.9,-737.4,-1196.4,-709,226.3
Tax Qtr Cr,-62.9,189.3,6,-20.1,-148.4,-352,-61.9,-181.3,-299.3,825.2,67.5
Net Profit Qtr Cr,-191.8,908.9,14.3,-67.5,-445.4,-1032.9,-231,-556.1,-897.1,-1534.1,158.8
Basic EPS Qtr Rs,-0.6,2.6,0,-0.2,-1.3,-3,-0.7,-1.6,-2.6,-4.4,0.5
