Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,660,773.4,652.4,622.4,606,676.5,601.2,530.8,435.5,627.8,539.1
Operating Expenses Qtr Cr,472.6,509.4,436.9,432.4,429.3,442.9,408.5,362,296,403.6,366
Operating Profit Qtr Cr,171.9,249.3,202.6,177.1,164.4,215.2,175.6,155,124.2,203.7,153.1
Operating Profit Margin Qtr %,26.67%,32.86%,31.68%,29.06%,27.69%,32.70%,30.06%,29.98%,29.56%,33.54%,29.49%
Depreciation Qtr Cr,86.1,80.3,78.5,76.2,74.7,70,69.7,68.7,66.1,62.3,57
Interest Qtr Cr,9.4,5.6,9.4,1.2,7.9,6.6,7.1,6.6,7.4,9.3,9.8
Profit Before Tax Qtr Cr,91.9,178.1,127.6,81.9,94.1,192,115.9,93.5,66,152.6,106.3
Tax Qtr Cr,18.7,31.1,24.2,15.4,17.2,31.5,14.1,9.9,8.2,32.6,14.7
Net Profit Qtr Cr,73.2,147,103.4,66.5,76.9,160.5,101.8,83.6,57.8,120,91.6
Basic EPS Qtr Rs,1.8,3.7,2.5,1.6,1.9,4,2.6,2.1,1.5,3,2.3
