Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020
Total Revenue Qtr cr,1458.2,1191.2,1142.9,1231.8,1187.7,1121.3,793.8,665,493.9,604.7
Operating Expenses Qtr Cr,1242.8,927.9,856.9,873.6,854.3,784.4,632.6,534.2,404.9,485.6
Operating Profit Qtr Cr,200.1,254.2,275.7,284,331.8,291.2,159,129.1,88.3,118.3
Operating Profit Margin Qtr %,13.87%,21.50%,24.34%,24.54%,27.97%,27.07%,20.09%,19.47%,17.90%,19.60%
Depreciation Qtr Cr,40.6,34.5,28.4,28.2,28.4,46.2,34.6,34.6,34.3,55
Interest Qtr Cr,3.3,2,1.7,1.5,3.7,4.8,9.1,10.8,14,16.1
Profit Before Tax Qtr Cr,171.5,226.8,255.8,328.4,301.3,285.9,117.5,85.3,40.7,48
Tax Qtr Cr,23.3,110.7,46.2,68.8,76.4,71.1,34.3,-6,-8.9,-6
Net Profit Qtr Cr,148.3,116.1,209.6,259.6,224.9,214.8,83.2,91.3,49.6,54
Basic EPS Qtr Rs,5.8,4.5,8.2,10.2,9.5,9.2,3.6,3.9,2.1,2.3
