Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,210.1,198.3,181.1,169.4,154,152.3,141.3,133.4,124.5
Operating Expenses Qtr Cr,25.7,21.9,21.3,26,22.1,22.9,20.5,19.7,17
Operating Profit Qtr Cr,169,158.7,146.6,130.9,122.1,120.3,115.3,110.1,104.1
Operating Profit Margin Qtr %,83.67%,83.69%,83.53%,80.08%,81.18%,82.34%,84.82%,84.46%,85.08%
Depreciation Qtr Cr,1.7,2.2,1.5,1.5,1.4,1.3,1.5,1.4,1.4
Interest Qtr Cr,45.9,42.3,42.2,47.5,47.1,45.7,46.6,44.1,45.7
Profit Before Tax Qtr Cr,129.6,122.9,108.5,87.8,77.1,79.5,72.6,67.6,59.2
Tax Qtr Cr,27.6,28.6,23.9,18.7,17,17.6,16.2,14.3,12.9
Net Profit Qtr Cr,101.9,94.4,84.6,69.1,60.1,61.9,56.3,53.2,46.4
Basic EPS Qtr Rs,2,1.9,1.7,1.4,1.2,1.3,1.2,1.1,0.9
