Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4521.3,4484.1,4278.7,3812.9,3929.5,4335,4198.9,3582.2,2651.1,3556.4,4116.3
Operating Expenses Qtr Cr,4043.1,3792.8,3670.7,3037.6,3010.1,3432.5,3573.5,2866.6,2076.4,2915.9,3519.7
Operating Profit Qtr Cr,425.3,633.7,555,711.3,874.7,859.4,571.2,670.7,524.4,585.9,540.5
Operating Profit Margin Qtr %,9.52%,14.32%,13.13%,18.97%,22.52%,20.02%,13.78%,18.96%,20.16%,16.73%,13.31%
Depreciation Qtr Cr,163.8,153.1,159.6,149.7,145.6,142.4,156.5,159.9,161.8,157.1,159.9
Interest Qtr Cr,14.9,10.6,12.9,17.1,13.4,11.2,17.4,16,13.1,10.6,29.2
Profit Before Tax Qtr Cr,299.5,527.6,380.7,608.5,722.3,748.9,275.4,539.7,399.8,472.8,407.4
Tax Qtr Cr,77.4,135.8,100.7,159.4,188.5,191.5,-188.5,176.6,131.8,152.9,138.1
Net Profit Qtr Cr,222.2,391.8,280,449,533.8,557.4,463.9,363.1,268,319.9,269.2
Basic EPS Qtr Rs,11.8,20.9,14.9,23.9,28.4,29.7,24.7,19.3,14.3,17,14.3
