Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5633,5265.2,4898.8,4920.3,4220.1,4794.2,4630.1,4230.6,2473.6,3682.7,4082.2
Operating Expenses Qtr Cr,5120.6,4672.8,4344.2,4319.4,3640.5,3992.1,3603.6,3331.9,2099.1,3055.2,3398.7
Operating Profit Qtr Cr,478.3,527.5,485.7,512.2,487.2,745.6,963.2,854.4,331.5,569.9,610.2
Operating Profit Margin Qtr %,8.54%,10.14%,10.06%,10.60%,11.80%,15.74%,21.09%,20.41%,13.64%,15.72%,15.22%
Depreciation Qtr Cr,296.9,310.2,294.6,295.8,300.7,297,283.1,283.9,272.9,266.4,249
Interest Qtr Cr,63.5,65.6,62.8,56.5,62.1,74.5,63.8,52.8,73.7,69.2,70.4
Profit Before Tax Qtr Cr,151.9,216.6,197.3,248.5,216.8,430.6,679.7,562,27.9,291.8,364.1
Tax Qtr Cr,39.5,59.8,51.4,65.2,55.5,113.4,168,159,10.8,-377.7,127.5
Net Profit Qtr Cr,112.4,156.8,145.8,183.4,161.3,317.3,511.7,403,17.1,669.5,236.6
Basic EPS Qtr Rs,264.9,369.7,343.9,432.4,380.4,748,1206.6,950.3,40.2,1578.5,557.9
