Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1379.1,1512,1126.6,1101.5,1145.2,1416.2,1232.4,1112.9,791.9,1168.6,1178.6
Operating Expenses Qtr Cr,1273.3,1327.2,1035.4,973.1,968.3,1204,1030.2,917.7,680.7,975.4,1015
Operating Profit Qtr Cr,91.4,127.1,81.2,111.9,166.7,188,154.2,174,93.4,169.6,144
Operating Profit Margin Qtr %,6.70%,8.74%,7.27%,10.31%,14.69%,13.51%,13.02%,15.94%,12.07%,14.81%,12.43%
Depreciation Qtr Cr,42.4,45.6,45.1,43.6,42.5,48.5,37.9,37.5,36.9,37.9,39.5
Interest Qtr Cr,24.7,22.1,25.4,25.6,27.4,28.4,32.2,33.2,36,44.7,46
Profit Before Tax Qtr Cr,13.3,78.6,27.7,59.1,107,135.4,132.1,124.6,38.2,110.6,78.2
Tax Qtr Cr,-0.5,21.6,1.3,17.4,29.2,-92.6,43.4,40.7,10.3,19.3,23.7
Net Profit Qtr Cr,13.8,57,26.4,41.8,77.8,228,88.7,83.8,28,91.4,54.5
Basic EPS Qtr Rs,1.8,7.4,3.4,5.4,10.1,29.6,11.5,10.9,3.6,11.9,7.1
