Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,8499.5,8768.5,5552.8,4478.8,2964.4,7038.4,4847.6,2858.4,676.5,3872.9,4038
Operating Expenses Qtr Cr,7699.8,7968.2,5311.3,4323.2,3091.1,6466.3,4559.7,2756.2,984.1,3655.5,3790.5
Operating Profit Qtr Cr,770.5,776,223.9,134.7,-140.1,534.2,253.8,80.4,-333.2,182.9,225.2
Operating Profit Margin Qtr %,9.10%,8.87%,4.04%,3.02%,-4.75%,7.63%,5.27%,2.84%,-51.20%,4.77%,5.61%
Depreciation Qtr Cr,212.4,195.3,189.7,184.3,183.5,218.4,194.4,171.2,163.7,187.7,157.5
Interest Qtr Cr,466.9,76.5,66.8,87.1,70.7,77.1,65.6,87.2,76.8,33.1,33.7
Profit Before Tax Qtr Cr,95.8,998.6,27.1,-115.5,-382.6,313.9,-18.2,-157.8,-549.8,-72.1,54.2
Tax Qtr Cr,67.8,97.3,21.3,-32.5,-100.3,72.8,1.1,-11.1,-161,-14.8,26.4
Net Profit Qtr Cr,28,901.4,5.8,-83,-282.3,241.2,-19.4,-146.7,-388.8,-57.3,27.8
Basic EPS Qtr Rs,0,3.1,0,-0.3,-1,0.8,-0.1,-0.5,-1.3,-0.2,0.1
