Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,429.4,466.3,417.5,433.2,311.2,399.3,328.2,271.8,125,279.9,289.2
Operating Expenses Qtr Cr,360.5,376,346.2,349,267.2,324.8,273.5,222.4,124.4,217.6,252.5
Operating Profit Qtr Cr,53.7,80.1,62.3,67.5,34.2,67.8,49.5,42.9,-5.1,31.7,30.4
Operating Profit Margin Qtr %,12.97%,17.55%,15.25%,16.21%,11.34%,17.27%,15.34%,16.17%,-4.29%,12.70%,10.75%
Depreciation Qtr Cr,9.2,10,8.9,9.1,8.7,8.7,8.9,8.9,8.9,9.4,9.4
Interest Qtr Cr,0.4,-0,0.6,0.5,0.5,0.7,0.9,0.9,1.2,1.1,1.3
Profit Before Tax Qtr Cr,59.3,80.3,61.7,74.6,34.8,65.1,44.9,39.6,-9.5,51.7,26
Tax Qtr Cr,14.7,19.6,15.9,17.6,8.8,16.3,11.5,9.8,-2.4,9.7,6.2
Net Profit Qtr Cr,44.6,60.6,45.8,56.9,26,48.9,33.5,29.8,-7.1,42,19.8
Basic EPS Qtr Rs,1.4,1.9,1.4,1.8,0.8,1.5,1.1,0.9,-0.5,2.6,1.2
