Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,820,841,896,722,619,616,592,520,417,566,639
Operating Expenses Qtr Cr,723,660,678,530,407,435,458,508,422,527,1090
Operating Profit Qtr Cr,75,107,157,124,136,128,-5,-35,-72,21,-493
Operating Profit Margin Qtr %,9.40%,13.95%,18.80%,18.96%,25.05%,22.74%,-1.10%,-7.40%,-20.57%,3.83%,-82.58%
Depreciation Qtr Cr,11,12,11,11,12,12,11,11,11,11,11
Interest Qtr Cr,2,1,2,0,1,1,1,2,2,4,4
Profit Before Tax Qtr Cr,84,168,205,181,199,168,122,-1,-18,24,-466
Tax Qtr Cr,21,46,50,41,42,54,29,-6,-5,-1,-110
Net Profit Qtr Cr,63,122,155,140,157,114,93,5,-13,25,-356
Basic EPS Qtr Rs,3.3,6.3,7.8,7.2,8,5.8,4.8,0.3,-0.7,1.3,-18.2
