Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1694.5,1590,1542.8,1477,1417.6,1339.5,1316,1283.8,1199,1387.4,1362.7
Operating Expenses Qtr Cr,1275.8,1203.2,1157.1,1116,1078.3,1033.4,1008.1,991.1,993.4,1086.2,1050.7
Operating Profit Qtr Cr,373.9,344.9,348.5,331.3,294.4,269.6,259.5,216.8,192.1,237.9,267.4
Operating Profit Margin Qtr %,22.66%,22.28%,23.15%,22.89%,21.45%,20.69%,20.47%,17.95%,16.20%,17.97%,20.29%
Depreciation Qtr Cr,49.7,45.4,45.7,45.4,46.1,43.4,43.9,44.9,41.5,40.8,39.8
Interest Qtr Cr,9.8,9.6,9.9,10.1,9.8,11.5,10.3,10.9,10.8,9.4,8.5
Profit Before Tax Qtr Cr,359.2,331.8,330.1,305.5,283.4,251.2,253.7,236.9,153.3,251,263.7
Tax Qtr Cr,96.7,89.9,87.2,80.4,74.8,60.6,63.9,58,39.5,60.3,65.4
Net Profit Qtr Cr,262.5,241.9,242.9,225.1,208.6,190.6,189.8,178.9,113.8,190.7,198.3
Basic EPS Qtr Rs,24.9,22.9,23.1,21.4,19.9,18.2,18.1,17.1,10.9,18.3,19
