Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1694.4,1287.4,1377.4,1115.3,379.6,846.1,768,488.5,149.2,757.1,907.9
Operating Expenses Qtr Cr,1348.8,1032.9,1056,799.1,359.1,637.1,545.4,445.7,215.5,629.8,696.2
Operating Profit Qtr Cr,304.1,152.3,291.7,221.3,-31.8,136.6,180,6.4,-119.1,92.9,173.5
Operating Profit Margin Qtr %,18.40%,12.85%,21.64%,21.68%,-9.71%,17.65%,24.81%,1.41%,-123.67%,12.86%,19.95%
Depreciation Qtr Cr,120.2,80.9,73.3,66.6,62.2,61.7,57.8,57.8,58.5,61.2,57.9
Interest Qtr Cr,92.5,78.7,73.4,72.6,68.6,61.8,60.6,58.3,57.4,59.5,59.3
Profit Before Tax Qtr Cr,133,94.7,174.6,163.9,-110.2,79.2,104.2,-73.3,-182.2,6.7,94.6
Tax Qtr Cr,30.3,19.9,41.7,38.3,-26.5,22.3,24.5,-25.2,-42.8,4,38.9
Net Profit Qtr Cr,102.6,74.9,132.9,125.6,-83.8,56.9,79.7,-48.1,-139.5,2.6,55.7
Basic EPS Qtr Rs,2.9,2.1,3.7,3.5,-2.4,1.6,2.2,-1.4,-3.9,0.1,1.6
