Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,349.7,498.2,400.9,339.3,269.6,262.5,279.8,237.7,244,190.1,183.6
Operating Expenses Qtr Cr,184.1,206.3,205.6,179.2,149.2,165.5,136.8,138.9,126.1,107.4,99
Operating Profit Qtr Cr,154.7,157.6,186,121.8,114.6,93.7,138.2,98.5,112.1,77.4,79.7
Operating Profit Margin Qtr %,45.67%,43.31%,47.51%,40.46%,43.45%,36.15%,50.25%,41.49%,47.06%,41.87%,44.58%
Depreciation Qtr Cr,10.5,10.4,10.5,9.2,9,8.3,8.8,7.5,7.1,7.1,5.6
Interest Qtr Cr,1.4,2.2,0.7,1.2,2.1,1.9,2.7,3.3,3.2,7.2,7.2
Profit Before Tax Qtr Cr,153.7,279.4,184.1,149.8,109.3,86.8,131.5,88.1,107.6,68.4,71.8
Tax Qtr Cr,39.6,54.9,47.1,34.6,27.8,22.4,33.9,22.8,26.3,15.2,19.8
Net Profit Qtr Cr,114.1,224.5,137,115.2,81.4,64.5,97.6,65.3,81.2,53.2,52
Basic EPS Qtr Rs,4.5,8.8,5.4,4.5,3.2,2.5,3.8,2.6,6.4,4.2,4.1
