Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,31388,36427,29244,28919,26159,24593,19408,16948,10447,15423,15902
Operating Expenses Qtr Cr,27753,29104,22053,19327,16468,16377,13606,12621,8864,12057,13100
Operating Profit Qtr Cr,3352,6907,6797,8673,9491,8021,5633,4176,1429,3220,2667
Operating Profit Margin Qtr %,10.78%,19.18%,23.56%,30.98%,36.56%,32.88%,29.28%,24.86%,13.88%,21.08%,16.92%
Depreciation Qtr Cr,1177,1225,1237,1051,998,1011,979,924,867,929,893
Interest Qtr Cr,1030,1317,887,802,843,868,879,885,933,954,988
Profit Before Tax Qtr Cr,1428,4059,5067,7739,7850,5951,3944,2518,-217,174,921
Tax Qtr Cr,472,1422,1643,2356,2592,1933,1115,826,-71,-68,230
Net Profit Qtr Cr,956,2637,3424,5383,5258,4018,2829,1692,-146,242,691
Basic EPS Qtr Rs,4,11,14.2,22.4,21.9,16.7,11.8,7,-0.6,1,2.9
