Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020
Total Revenue Qtr cr,224.5,290.9,267.8,199.2,159,255.8,210.8
Operating Expenses Qtr Cr,188.7,234.6,226.8,172.7,135.9,211.3,178.1
Operating Profit Qtr Cr,35.3,53.8,38.7,23.4,20.2,42.9,31.5
Operating Profit Margin Qtr %,15.75%,18.64%,14.57%,11.92%,12.92%,16.89%,15.02%
Depreciation Qtr Cr,8.4,8.3,7.9,7.7,7.4,7,6.2
Interest Qtr Cr,0.4,0.5,0.3,0.3,0.3,0.4,0.9
Profit Before Tax Qtr Cr,26.9,47.4,32.8,18.5,15.6,37.1,25.6
Tax Qtr Cr,7,12.8,8.5,4.9,4,12.2,6.8
Net Profit Qtr Cr,19.9,34.6,24.3,13.5,11.6,24.9,18.8
Basic EPS Qtr Rs,4.2,7.3,5.1,2.9,2.4,5.3,4.2
