Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,357.2,3984.4,5888.2,2023,172,2585.5,5311.6,209.3,213.2,11226.5,589.6
Operating Expenses Qtr Cr,135.1,109,193.9,173.6,211.9,104.2,129.6,194.1,196.4,428,194
Operating Profit Qtr Cr,185.4,266.3,104.8,159.1,-87.9,100,23.9,-72.4,-35.5,-99,-4.5
Operating Profit Margin Qtr %,57.84%,70.96%,35.07%,47.82%,-70.88%,48.99%,15.57%,-59.46%,-22.09%,-30.09%,-2.36%
Depreciation Qtr Cr,5.2,5.4,5,5.4,5,6.4,4.4,4.3,4.5,41.7,4.3
Interest Qtr Cr,0.5,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.3,0.7,1.2
Profit Before Tax Qtr Cr,216.4,3869.6,5688.9,1843.7,-45.3,2474.6,5177.2,10.4,11.9,10756.1,390.7
Tax Qtr Cr,55.4,76.2,44.1,30.5,4.5,-112.6,156.3,-9.8,0,124.5,-68
Net Profit Qtr Cr,161,3793.4,5644.8,1813.1,-49.8,2587.1,5020.8,20.2,11.9,10631.6,458.7
Basic EPS Qtr Rs,0.3,6.2,9.2,2.9,-0.1,4.2,8.2,0,0,17.2,0.7
