Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,287.9,348.5,345.7,392,342.2,335.2,373.8,302.4,314.2,141.9,341.9
Operating Expenses Qtr Cr,120.1,112.2,110.8,118.7,110.8,120,107.7,107.9,110.2,96,142.2
Operating Profit Qtr Cr,174.5,201.8,204.2,185.3,170.2,159.8,143.1,132.6,105.2,158.6,143.1
Operating Profit Margin Qtr %,59.24%,64.27%,64.84%,60.95%,60.57%,57.12%,57.05%,55.13%,48.85%,62.30%,50.15%
Depreciation Qtr Cr,6.7,6.9,6.3,6.4,7.2,6.9,7.6,7.7,10.3,8.3,9.1
Interest Qtr Cr,0.9,1.1,0.6,1.1,0.9,0.9,1,1.2,1.2,0.4,1.9
Profit Before Tax Qtr Cr,160.2,228.3,228,265.8,223.4,207.4,257.4,185.6,192.4,37.2,188.7
Tax Qtr Cr,39.3,57.7,59.1,65.4,52.1,50,55.7,45,42.8,25.4,44.8
Net Profit Qtr Cr,121,170.6,168.9,200.4,171.3,157.4,201.8,140.6,149.7,11.9,143.9
Basic EPS Qtr Rs,1.9,2.8,2.7,3.2,2.8,2.5,3.3,2.3,2.4,0.2,2.4
