Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1420.3,1230.5,1164.5,1070.9,1007.2,877.3,771.2,664.7,362.1,708.7,773.8
Operating Expenses Qtr Cr,1213.5,1082.1,988,880.8,839.9,680.5,581,558.5,320.9,601,648.4
Operating Profit Qtr Cr,195.5,136.8,168.1,186.8,163.9,186.2,188.4,105.4,38.6,99.3,120.2
Operating Profit Margin Qtr %,13.88%,11.22%,14.54%,17.50%,16.33%,21.49%,24.48%,15.87%,10.73%,14.18%,15.64%
Depreciation Qtr Cr,37.4,30.5,30.8,30.4,29.2,27.9,27.8,27.3,27.1,25.3,22.3
Interest Qtr Cr,8.8,6.9,6.9,7.7,7.6,8.1,8,6.5,11.4,12,10.6
Profit Before Tax Qtr Cr,160.5,111.1,138.8,152.1,130.4,160.8,154.4,72.5,2.7,70.3,92.5
Tax Qtr Cr,34.5,20.8,27.7,30.5,26.1,33.4,29.4,14.9,0.4,-1.9,22.9
Net Profit Qtr Cr,125.9,90.3,111,121.5,104.3,127.4,125,57.5,2.3,72.2,69.6
Basic EPS Qtr Rs,3.3,2.4,5.9,7,6,7.4,7.2,3.3,0.1,4.2,4
