Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,173.1,182.3,174.3,165.6,142.5,196.9,141.3,114.8,54.6,95.3,138.1
Operating Expenses Qtr Cr,121.8,119.9,98.8,106.7,74.3,90.3,87.7,82.4,44.5,74.1,112.4
Operating Profit Qtr Cr,48.2,59.1,69.7,53.8,61.8,103.7,52.5,31.7,9.6,20.2,14.5
Operating Profit Margin Qtr %,28.34%,33.03%,41.39%,33.52%,45.40%,53.45%,37.43%,27.76%,17.67%,21.38%,11.44%
Depreciation Qtr Cr,10.6,10.5,10.6,10.6,10.7,10.5,10.6,10.6,10.4,12.2,1.4
Interest Qtr Cr,0.5,0.7,0.4,0.1,1.6,2.1,1.8,2,2.1,3,0.9
Profit Before Tax Qtr Cr,40.3,51.3,64.5,48.2,55.9,94,41.3,19.8,-2.4,6,23.4
Tax Qtr Cr,10.2,4.9,18.7,14,16.2,27.1,30.7,5.8,-0.6,1.9,6.7
Net Profit Qtr Cr,30.1,46.4,45.7,34.1,39.6,66.9,10.6,14.1,-1.9,4.1,16.7
Basic EPS Qtr Rs,2.3,3.6,3.5,2.6,3,5.2,0.9,1.2,-0.2,0.4,1.8
