Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,731.6,1409.8,838.6,524.1,156.2,1162.1,513.8,287.6,62.6,1467.8,541.8
Operating Expenses Qtr Cr,652.8,977,514.4,437.7,162.3,792.6,419.6,224.6,150,1030.6,455.4
Operating Profit Qtr Cr,42,404.1,289.5,66.1,-33.7,344.3,39.7,52.2,-118.6,404.8,53.4
Operating Profit Margin Qtr %,6.05%,29.26%,36.01%,13.13%,-26.20%,30.29%,8.65%,18.85%,-377.07%,28.20%,10.50%
Depreciation Qtr Cr,23.4,20.6,24.8,23.7,21.2,30.8,24.8,21.4,17.5,35.5,22.8
Interest Qtr Cr,2,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1.2,1.2,1
Profit Before Tax Qtr Cr,53.3,377.8,298.5,61.8,-28.2,337.8,68.5,40.6,-106,400.4,62.6
Tax Qtr Cr,13.5,113.4,85.3,18.5,-7.2,77.4,19.4,14.4,-28,90.7,9.4
Net Profit Qtr Cr,39.9,264.4,213.3,43.3,-21,260.4,49.2,26.2,-78,309.7,53.2
Basic EPS Qtr Rs,2.2,14.4,11.6,2.4,-1.1,14.2,2.7,1.4,-4.3,16.9,2.9
