Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020
Total Revenue Qtr cr,68,66.6,49.3,61.8,60.2,56,61.8
Operating Expenses Qtr Cr,31.1,30,27.9,29.3,24.9,28.3,29.3
Operating Profit Qtr Cr,30.7,25.4,15.1,19.3,26.3,19.1,19.3
Operating Profit Margin Qtr %,49.68%,45.85%,35.10%,39.71%,51.39%,40.30%,39.71%
Depreciation Qtr Cr,1.7,2.2,1.9,2.4,1.5,2.3,2.4
Interest Qtr Cr,0.6,0.6,0.5,0.6,0.5,0.6,0.6
Profit Before Tax Qtr Cr,34.6,33.9,19,29.5,33.3,24.7,29.5
Tax Qtr Cr,9.5,10.3,3.2,7.1,9,4.3,7.1
Net Profit Qtr Cr,25.1,23.6,15.8,22.5,24.3,20.4,22.5
Basic EPS Qtr Rs,4.7,4.6,3,4.3,4.6,3.9,4.7
