Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,626.8,756,679.2,595.7,423.2,805.7,619,434.5,179.6,564.6,496.9
Operating Expenses Qtr Cr,583.5,672.7,611.9,532.5,400,704.9,534.1,376,198,497.9,450.4
Operating Profit Qtr Cr,38.1,80.7,66.5,61.9,22.3,96.8,84.2,57.8,-19.2,65.2,45.3
Operating Profit Margin Qtr %,6.14%,10.71%,9.80%,10.41%,5.29%,12.08%,13.62%,13.32%,-10.77%,11.58%,9.13%
Depreciation Qtr Cr,12.8,11.9,11.8,11.7,11.6,10.9,10.8,10.7,10.7,10.6,10.4
Interest Qtr Cr,5.2,6,4.6,5,4.8,5.4,4.6,4.5,6.3,7.7,6.6
Profit Before Tax Qtr Cr,25.4,65.5,50.9,46.5,6.8,84.5,69.4,43.3,-35.3,48.4,29.5
Tax Qtr Cr,6.4,16.7,12.8,11.8,1.8,21.8,17.5,10.9,-8,12.6,10.4
Net Profit Qtr Cr,18.9,48.8,38.1,34.8,5,62.7,51.9,32.4,-27.3,35.8,19.1
Basic EPS Qtr Rs,0.9,2.3,1.8,1.6,0.2,3,2.5,1.5,-1.3,1.7,0.9
