Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,887.5,900.5,854.3,815.1,453.8,742.3,655.5,521.1,205.3,524.3,596.7
Operating Expenses Qtr Cr,736.2,734.3,696.8,647.6,387.7,611.8,532.5,434,199.8,454.1,546.8
Operating Profit Qtr Cr,145.3,160.9,151.7,160.7,61.2,126.8,121.8,85.9,0.8,70.1,48.6
Operating Profit Margin Qtr %,16.48%,17.98%,17.88%,19.89%,13.63%,17.17%,18.62%,16.52%,0.42%,13.37%,8.17%
Depreciation Qtr Cr,17.8,17.2,17.2,16.8,16.3,15.9,16.2,16.2,14.3,16.3,17.3
Interest Qtr Cr,3.9,3.2,2.1,1.6,2.7,2.9,1.1,1.8,5,8.3,9.2
Profit Before Tax Qtr Cr,129.6,145.8,138.2,149.1,47.1,111.7,93.9,69.1,-13.9,45.6,23.4
Tax Qtr Cr,33.1,54.7,41,46.1,13.2,28.4,28,17.6,-5.4,6.9,4.3
Net Profit Qtr Cr,96.5,91,97.3,103.1,33.9,83.2,65.9,51.4,-8.5,38.8,19.1
Basic EPS Qtr Rs,4.3,4.1,4.4,4.6,1.5,3.8,3,2.3,-0.4,1.8,0.9
