Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,592,461.6,694.6,342,181.9,356.2,470.3,190.5,79.5,333.4,562.6
Operating Expenses Qtr Cr,499.2,408.5,556.7,317.3,179.4,318.3,366.2,175.8,83.9,304.8,445.4
Operating Profit Qtr Cr,88.7,50.3,135.3,20.6,-2,33.6,103.8,-0.3,-5.8,27.8,116.8
Operating Profit Margin Qtr %,15.09%,10.97%,19.55%,6.11%,-1.10%,9.54%,22.09%,-0.19%,-7.48%,8.37%,20.78%
Depreciation Qtr Cr,40.2,37.6,40.4,27.2,25.5,25.6,25.4,25.7,26.3,25.2,24.5
Interest Qtr Cr,24.7,23.5,21.2,16.9,15.6,14.6,15,14.7,14.6,13.9,15.8
Profit Before Tax Qtr Cr,27.8,-8,76.4,-19.5,-38.5,-2.3,63.7,-25.7,-45.4,-10.4,77
Tax Qtr Cr,7.4,-5.4,19.3,-5.3,-9.8,-0.8,15.8,-6.8,-11.7,-2,18.8
Net Profit Qtr Cr,20.5,-2.6,57.1,-14.1,-28.7,-1.5,47.9,-19,-33.6,-8.4,58.2
Basic EPS Qtr Rs,10.3,-1.3,28.9,-7,-14.6,-0.8,26.3,-10.4,-18.5,-4.7,32.1
