Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,336.6,365.5,105.1,405.1,411.4,454.1,435,403.2,353,308.9,349.8
Operating Expenses Qtr Cr,320.4,347.9,197,329.4,313.7,344.7,321.5,300.4,264.9,246.5,266.2
Operating Profit Qtr Cr,9.7,12.9,-96.6,72.2,91.9,99.5,105.2,97.2,83.5,50.3,77.4
Operating Profit Margin Qtr %,2.93%,3.59%,-96.29%,17.97%,22.65%,22.40%,24.65%,24.44%,23.96%,16.94%,22.53%
Depreciation Qtr Cr,28.1,27.7,28.4,28.3,27.6,27.4,27.3,27.5,26.1,23.8,23.8
Interest Qtr Cr,22.5,21.5,17.8,17.1,18.9,24.9,20.4,19.4,19.8,20.4,18.6
Profit Before Tax Qtr Cr,-34.4,-32.9,-139.6,30.2,50.6,57.1,65.8,55.9,42.1,18.2,41.2
Tax Qtr Cr,-15.2,-33.1,0,0,0,0,0,0,0,0,0
Net Profit Qtr Cr,-19.2,0.2,-139.6,30.2,50.6,57.1,65.8,55.9,42.1,18.2,41.2
Basic EPS Qtr Rs,-5.3,0.1,-38.9,8.4,14.1,15.7,18.5,19,15.7,6.9,15.9
