Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,260.3,542,459.8,232.6,206.2,613.4,479.4,172.5,169.4,911.2,387.7
Operating Expenses Qtr Cr,84.6,335.4,299.3,63.8,43.5,452.5,306.6,3.2,3,680.2,194.2
Operating Profit Qtr Cr,-1.3,-3,-1,2.9,-1.2,-2.1,-1.9,-3.1,-3,-15,-1.8
Operating Profit Margin Qtr %,-1.51%,-0.91%,-0.33%,4.39%,-2.76%,-0.48%,-0.62%,-5200.00%,-4950.00%,-2.25%,-0.94%
Depreciation Qtr Cr,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Interest Qtr Cr,192.7,200.7,190.3,190.2,181.8,177.7,176.7,173.2,162.6,208.6,202.7
Profit Before Tax Qtr Cr,-17,5.9,-29.9,-21.5,-19.1,-16.9,-4,-4,3.7,22.2,-9.3
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Net Profit Qtr Cr,-17,5.9,-29.9,-21.5,-19.1,-16.9,-4,-4,3.7,22.2,-9.3
Basic EPS Qtr Rs,-0.3,-0.3,-0.8,-0.8,-0.7,-0.7,-0.6,-0.6,-0.5,0.5,-1
