Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,65.5,64,74.6,56.3,36.8,47.8,45.3,50.4,37.1,64.9,68.8
Operating Expenses Qtr Cr,56.4,56.8,60.8,57.1,46.9,56.6,45.4,36.5,25.1,36.7,49.6
Operating Profit Qtr Cr,5.4,3.6,10.1,-4.8,-14.3,-14.4,-7.7,-13.3,-14.3,-2.4,-7
Operating Profit Margin Qtr %,8.75%,6.02%,14.25%,-9.09%,-43.89%,-34.12%,-20.34%,-57.67%,-132.50%,-6.85%,-16.45%
Depreciation Qtr Cr,0.7,0.8,0.7,0.7,0.7,0.9,0.9,0.9,0.8,1,0.7
Interest Qtr Cr,0.5,0.5,0.5,0.5,0.5,0.3,4.9,34.9,34.6,34.5,34.6
Profit Before Tax Qtr Cr,8,5.9,12.6,-2,-11.2,-10,-132.9,-21.8,-23.4,-7.4,-16.1
Tax Qtr Cr,0,-7.5,0,0,0,0,0,0,-6,-1.7,-12.2
Net Profit Qtr Cr,8,13.4,12.6,-2,-11.2,-10,-132.9,-21.8,-17.4,-5.6,-3.9
Basic EPS Qtr Rs,1.2,2.1,2,-0.3,-1.8,-1.6,-20.9,-3.8,-3,-1,-0.7
