Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,5291,5308.6,5070.4,4715,4859,4964.4,4924,4981.8,4977.5,4886.9,4996.5
Operating Expenses Qtr Cr,188.2,251.3,192.8,262,273.5,230.1,165.7,157,126.7,255.8,132.5
Operating Profit Qtr Cr,4789.6,4871.4,4505.9,3820.7,3753.2,3760.4,4560.1,4709,4820.5,4637.1,4473.3
Operating Profit Margin Qtr %,90.62%,91.92%,89.15%,81.15%,77.27%,75.70%,92.93%,94.77%,96.34%,94.25%,89.53%
Depreciation Qtr Cr,14.7,14.2,13.2,12.8,12.2,12.3,12.6,12.4,12.2,12.9,12.7
Interest Qtr Cr,3640,3551.8,3546.9,3506,3550,3392.9,3595.1,3700.2,3764.5,3764.2,3715.2
Profit Before Tax Qtr Cr,1140.4,1314.4,961.9,308.9,192.9,352,969.6,1009.3,1017.7,826.7,745.3
Tax Qtr Cr,214.9,195.8,194.5,61.1,39.5,-46.9,242.6,218.4,200.2,405.3,147.8
Net Profit Qtr Cr,925.5,1118.6,767.3,247.9,153.4,398.9,727,790.9,817.5,421.4,597.5
Basic EPS Qtr Rs,16.8,21.1,13.9,4.5,3,7.9,14.4,15.6,16.2,8.3,11.8
