Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,962.7,1319.5,1049.7,1038.3,732.4,1147,931.5,741,452.4,777,874.2
Operating Expenses Qtr Cr,909.8,1210,964.3,939.5,675.5,1000.4,807.2,666.8,439,692.1,779.8
Operating Profit Qtr Cr,37.2,71.2,52.9,67.8,34.1,84.6,96,47.9,-10.5,47.3,69.8
Operating Profit Margin Qtr %,3.93%,5.55%,5.20%,6.73%,4.81%,7.80%,10.63%,6.71%,-2.44%,6.40%,8.22%
Depreciation Qtr Cr,17.9,17.9,17,16.1,16.2,16.6,16.7,15.5,15.2,16.6,16.1
Interest Qtr Cr,3.6,6.1,2.7,2.4,2.1,2.7,2.2,1.9,1.8,2,1.7
Profit Before Tax Qtr Cr,31.6,85.5,51.7,80.3,38.5,127.3,14.9,44.3,-3.6,51.3,76.6
Tax Qtr Cr,7.1,14.4,12.5,20.4,8,14.5,18.3,10.7,-1.7,10.2,18.5
Net Profit Qtr Cr,24.5,71.2,39.2,59.9,30.5,112.7,-3.4,33.6,-1.9,41.1,58
Basic EPS Qtr Rs,2.1,6,3.3,5,2.6,9.5,-0.3,2.8,-0.2,3.4,4.9
