Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3574.6,3439.5,3427.1,3476.3,3388.2,3009.2,3056.5,3298.8,3307.2,2767.2,2883.8
Operating Expenses Qtr Cr,3051.6,2814.4,2861.2,2894.4,2712.5,2464.8,2408,2606.7,2548.1,2261.7,2337.4
Operating Profit Qtr Cr,469.9,522,512.5,530.9,523.7,487.8,570.7,620.9,671.8,430.3,481.8
Operating Profit Margin Qtr %,13.34%,15.65%,15.19%,15.50%,16.18%,16.52%,19.16%,19.24%,20.86%,15.98%,17.09%
Depreciation Qtr Cr,43.5,43.3,42.6,42.5,41.5,45.2,40.9,40.6,40.1,39.3,38.4
Interest Qtr Cr,38.9,31,34.7,36.2,31.5,20.5,28.7,26.7,21.9,20.7,22.1
Profit Before Tax Qtr Cr,440.6,550.7,488.6,503.2,602.7,478.7,578.9,624.8,697.1,445.5,485.8
Tax Qtr Cr,119,137.3,132,135.8,136.8,125.2,150.5,162.4,181.2,64.3,125.4
Net Profit Qtr Cr,321.7,413.4,356.6,367.3,465.9,353.5,428.4,462.3,515.9,381.2,360.4
Basic EPS Qtr Rs,13.3,17.2,14.8,15.2,19.3,14.7,17.8,19.2,21.4,15.8,15
