Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,217,227.7,175.6,201.8,166.9,202.9,206.8,196.1,170.1,173.7,207.9
Operating Expenses Qtr Cr,94.9,91.7,81.9,85.7,71.7,77.9,88.4,79.8,63.5,61.5,79.5
Operating Profit Qtr Cr,113.2,129,86.7,109,87.9,115.5,110,102.9,95.5,100.4,117.1
Operating Profit Margin Qtr %,54.40%,58.44%,51.43%,55.98%,55.09%,59.74%,55.45%,56.34%,60.07%,62.00%,59.54%
Depreciation Qtr Cr,30,30.7,31.8,33.3,33.4,33.5,33.3,33.6,33.1,33.8,33.3
Interest Qtr Cr,2.1,1.3,1,1.1,1.3,1.5,1.5,1.6,1.7,2,1.9
Profit Before Tax Qtr Cr,77.4,109.3,70.7,72.9,49.6,90,83.7,81.1,71.8,76.4,93.2
Tax Qtr Cr,19.9,37.6,27,27.3,17.4,24.8,29.4,28.6,25.3,28.5,-27.1
Net Profit Qtr Cr,57.5,71.7,43.8,45.6,32.2,65.2,54.3,52.4,46.4,47.9,120.4
Basic EPS Qtr Rs,1.2,1.5,0.9,0.9,0.7,1.4,1.1,1.1,1,1,2.5
