Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,365.8,386.9,410.6,416.2,409.1,414.3,375.7,306.7,256.2,267.7,265.5
Operating Expenses Qtr Cr,257,268.9,268.9,262,261.3,251.7,225.4,188.9,166.5,183.8,180.5
Operating Profit Qtr Cr,102,110.1,134.4,146,140.4,154,143,110.7,84.5,76.1,71.3
Operating Profit Margin Qtr %,28.41%,29.04%,33.33%,35.78%,34.95%,37.96%,38.81%,36.96%,33.66%,29.28%,28.33%
Depreciation Qtr Cr,23.4,21.7,22.8,21.8,21.9,20.5,19.9,20.3,19.1,19.1,18.2
Interest Qtr Cr,4.4,4.4,4.9,5.3,5.5,4.2,3.7,3.7,3.7,3.8,4.6
Profit Before Tax Qtr Cr,81,91.9,113.9,127.1,120.4,137.8,126.7,93.9,66.9,61.1,62.2
Tax Qtr Cr,11.6,11.4,18.6,16.8,18.9,23,19.5,10,6.1,10.1,9.7
Net Profit Qtr Cr,69.4,80.5,95.3,110.3,101.5,114.8,107.2,83.9,60.8,51,52.4
Basic EPS Qtr Rs,1,1.2,1.4,1.7,1.5,1.7,1.6,1.2,0.9,0.7,0.8
