Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1405.6,1414.6,1482.5,1572.5,1676.5,1815.6,1881.1,2018.7,1868.6,1925.3,2069.6
Operating Expenses Qtr Cr,100.5,101,94.9,97,95.1,126.7,81.8,89.2,79.6,127.2,112.7
Operating Profit Qtr Cr,1255.6,1167.6,1257.9,1330.5,1420.8,1336.2,1534.3,1744,1711.7,1037.9,1776.9
Operating Profit Margin Qtr %,89.41%,82.56%,84.86%,84.78%,84.80%,73.69%,81.93%,86.65%,91.71%,54.06%,85.86%
Depreciation Qtr Cr,13,14,13.1,13.4,12.8,14.3,14,14.6,15.9,14.5,18.1
Interest Qtr Cr,930.5,931,997.5,1034.1,1103.1,1149.6,1246.3,1339.8,1363.7,1380,1461.1
Profit Before Tax Qtr Cr,313.4,223.1,247.5,286.2,306,174.5,282.2,395.6,334.3,-351.2,297.8
Tax Qtr Cr,75.2,53.1,63.8,52.9,71,44.5,59,83.3,74.7,-88.1,62.7
Net Profit Qtr Cr,238.2,170,183.7,233.3,235,130,223.3,312.4,259.6,-263.1,235.1
Basic EPS Qtr Rs,14.1,10.1,10.9,13.8,14,7.7,13.3,18.6,15.4,-15.6,14
