Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,619.2,601.5,605.2,565.4,485.1,520,503.3,438,253.4,387.4,418.9
Operating Expenses Qtr Cr,504.2,493.6,500.9,463.1,388,411.8,402.9,353.9,228.7,296.3,352.7
Operating Profit Qtr Cr,102.4,91.8,100.9,95.1,81.8,97.6,91.6,76.4,9.4,69.2,62.2
Operating Profit Margin Qtr %,16.88%,15.69%,16.77%,17.03%,17.41%,19.16%,18.52%,17.75%,3.96%,18.93%,15.00%
Depreciation Qtr Cr,16.8,16.1,16.2,16.7,16,16.2,15.8,15.3,14.1,16.2,16.6
Interest Qtr Cr,2.4,0.9,0.1,0,0,0.2,0.1,0,0,0.3,0
Profit Before Tax Qtr Cr,95.7,90.9,88,85.5,81.1,80.6,84.6,68.7,10.6,74.6,49.6
Tax Qtr Cr,22.9,29,21.4,22.6,18.1,23.1,18.8,18.5,0.1,12.2,9.3
Net Profit Qtr Cr,72.8,61.9,66.6,63,63,57.5,65.7,50.2,10.5,62.4,40.3
Basic EPS Qtr Rs,3.8,3.3,3.5,3.3,3.3,3,3.5,2.6,0.6,3.3,2.1
