Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,155,135.8,168.3,38.5,34,136.4,74.1,6.6,11.4,103.3,131.3
Operating Expenses Qtr Cr,83.3,75.8,73.5,41.4,45.2,69.4,48.7,21.6,18.9,53.9,69
Operating Profit Qtr Cr,67.9,55.5,91.7,-7.6,-16.3,63.8,19.3,-21,-18.8,40.9,55.6
Operating Profit Margin Qtr %,44.92%,42.25%,55.53%,-22.66%,-56.44%,47.91%,28.38%,-3627.59%,-62800.00%,43.16%,44.61%
Depreciation Qtr Cr,4.7,5.1,3.9,4.1,4,2.4,4.5,9.4,12.1,17.7,4.4
Interest Qtr Cr,0.5,0.7,0.9,0.1,0.1,0.3,0.2,0.2,0.1,0.3,0.1
Profit Before Tax Qtr Cr,62.9,41.7,88.9,-7,-15.3,64.3,20.7,-24.6,36.2,-24.6,57.7
Tax Qtr Cr,16.6,13.6,23,-2,-3.7,16.3,5.2,-5.7,-5.9,8.5,13.8
Net Profit Qtr Cr,46.3,28.1,65.9,-5,-11.6,48,15.5,-18.8,42.1,-33,43.9
Basic EPS Qtr Rs,1.7,1.1,2.5,-0.2,-0.4,1.8,0.6,-0.7,1.6,-1.2,1.6
