Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1248.4,1354.4,1332.4,1318.7,866.1,1286.3,1520,1223.9,615.5,1319,1291.5
Operating Expenses Qtr Cr,1157.5,1263.2,1222.3,1212.1,845.6,1182.8,1349.1,1111,628.5,1266.2,1213.1
Operating Profit Qtr Cr,71.2,59.2,82.1,78.7,7.1,71.7,147.5,103.1,-20.8,33.5,68.4
Operating Profit Margin Qtr %,5.79%,4.48%,6.30%,6.09%,0.84%,5.71%,9.86%,8.49%,-3.42%,2.57%,5.33%
Depreciation Qtr Cr,15.5,14.8,14.1,13.4,14.4,16.3,18.1,17.7,17.2,18.1,17
Interest Qtr Cr,7.2,9.8,15.8,12.7,14.7,10.6,16.4,21.6,26.9,35.8,39.4
Profit Before Tax Qtr Cr,68.2,63,70.6,80.5,-8.7,73.6,136.4,73.6,-42.4,-1.1,22
Tax Qtr Cr,17.6,18.7,18.4,17.1,-2.3,17.5,35.6,19.6,-15.2,-1.1,6.5
Net Profit Qtr Cr,50.6,44.3,52.2,63.4,-6.4,56,100.8,54,-27.2,0,15.5
Basic EPS Qtr Rs,4.4,3.9,4.5,5.5,-0.6,4.9,8.8,4.7,-2.4,0,1.5
