Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1505.7,1670.1,2090.1,2195.5,1531.3,1840.7,1897.1,1473.2,466,768,809.9
Operating Expenses Qtr Cr,1434.2,1596.8,2021.2,2098.8,1488.9,1762.3,1803.7,1390.5,450,711.5,762.7
Operating Profit Qtr Cr,69.7,72.9,68.3,95.4,42,76.7,93.3,82.4,15.8,51.4,46.1
Operating Profit Margin Qtr %,4.63%,4.36%,3.27%,4.35%,2.75%,4.17%,4.92%,5.59%,3.39%,6.73%,5.70%
Depreciation Qtr Cr,12.1,15.4,12.3,11.7,11.3,10.7,10,9.7,8.1,9.4,8.8
Interest Qtr Cr,7.3,9.5,8.3,5.4,6.9,6,7.5,6.9,5.6,7.5,8.3
Profit Before Tax Qtr Cr,52.1,48.3,48.4,79.6,24.1,61.7,76,66.1,2.4,39.5,30.1
Tax Qtr Cr,12.9,13.3,13,17.2,5.9,17.1,18.7,17.8,0.6,9.2,8
Net Profit Qtr Cr,39.2,35,35.3,62.4,18.2,44.5,57.3,48.4,1.8,30.4,22.2
Basic EPS Qtr Rs,6.6,6,6,10.7,3.1,7.7,49.4,41.8,1.6,26.6,19.5
