Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1239.2,994.4,1168.6,1059.2,1030.8,976.8,1137.3,1135.9,773.2,1071.6,1333.5
Operating Expenses Qtr Cr,996.7,824.9,1045.2,855.1,822.5,764.4,919.9,912.2,580.5,833.7,1090.1
Operating Profit Qtr Cr,231.5,162.5,108.3,198.6,193.4,209.6,200.8,221,183.5,228.6,238.9
Operating Profit Margin Qtr %,18.85%,16.46%,9.39%,18.85%,19.04%,21.52%,17.92%,19.50%,24.02%,21.52%,17.98%
Depreciation Qtr Cr,18.6,18.5,18.8,18.6,18.3,18.1,18,18,17.7,18,17.9
Interest Qtr Cr,2,3.9,4.2,1.7,3.6,7.5,4.5,3.1,8.4,18.5,13.9
Profit Before Tax Qtr Cr,221.8,147.2,100.4,183.8,186.4,186.8,194.8,202.5,166.6,201.4,211.6
Tax Qtr Cr,57.4,38.2,27,47.2,45.3,48.3,49.1,52.4,40.6,51.3,52.4
Net Profit Qtr Cr,164.5,109,73.4,136.6,141.1,138.5,145.7,150.1,126,150.1,159.2
Basic EPS Qtr Rs,7,4.6,3.1,5.8,6,5.9,6.2,6.4,5.3,6.4,6.8
