Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,671.3,704.1,749,721.5,502.4,754.6,676,580.9,370.5,544.6,602
Operating Expenses Qtr Cr,581,587.1,621.9,597.6,431,584.8,523.3,449,306.6,444.4,498.2
Operating Profit Qtr Cr,86.1,111.1,121.6,116.8,66.2,162.9,148.7,126.9,57,96.2,101.6
Operating Profit Margin Qtr %,12.91%,15.92%,16.36%,16.35%,13.31%,21.78%,22.13%,22.04%,15.68%,17.80%,16.94%
Depreciation Qtr Cr,29.8,28.7,29.1,28.3,27.5,26.9,27.8,27.8,27.5,27.6,27.5
Interest Qtr Cr,6.9,3.9,4.1,3.6,3.7,5.2,4,3.8,4.1,3.5,4.4
Profit Before Tax Qtr Cr,53.6,84.4,94,91.9,40.2,137.6,120.9,100.3,32.3,69,71.9
Tax Qtr Cr,14.9,21.5,23.9,23.2,9.3,35.4,30.8,25.2,8.1,17.2,17.8
Net Profit Qtr Cr,38.7,62.9,70.1,68.7,31,102.2,90.1,75.1,24.2,51.8,54.2
Basic EPS Qtr Rs,1.6,2.5,2.8,2.8,1.2,4.1,3.6,3,1,2.1,2.2
