Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,298.1,366.6,307,282.6,245.3,310.8,291.3,287.1,162.6,288.8,243.9
Operating Expenses Qtr Cr,256,285.3,250.9,226,197.5,240.7,223.9,220.6,133.2,189,197.7
Operating Profit Qtr Cr,37.4,76.5,51.3,46.8,41.8,64.3,58.2,58.3,17.9,55.2,38.1
Operating Profit Margin Qtr %,12.75%,21.16%,16.98%,17.14%,17.47%,21.09%,20.63%,20.90%,11.84%,22.59%,16.14%
Depreciation Qtr Cr,5.4,5.3,5.4,5.4,5.3,5.3,5.3,5.1,5,5.1,5
Interest Qtr Cr,2.8,1.5,4,2.7,2.3,2.3,3.1,2.8,1.7,2.5,2.9
Profit Before Tax Qtr Cr,33.9,74.5,46.7,48.6,40.2,62.4,59,58.6,22.7,92.2,38.3
Tax Qtr Cr,7.9,17.4,11.8,11,9.1,14.7,15.6,13.1,4.7,19,9.3
Net Profit Qtr Cr,26,57.2,34.9,37.6,31.1,47.7,43.4,45.5,18,73.2,28.9
Basic EPS Qtr Rs,12.6,27.7,16.9,18.2,15.1,22.5,20.3,21.1,8.2,33.5,13.2
