Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1765,1587.6,1545,1503.3,1245.8,1338.7,1289.3,1133.3,452.9,946.7,1057.1
Operating Expenses Qtr Cr,1427.1,1259,1236.1,1223.1,1025.8,1104,1044.7,931,458.7,791.3,889.5
Operating Profit Qtr Cr,321.7,308.5,287.1,264.5,207.1,212.9,229.1,189.6,-19.8,137.3,147
Operating Profit Margin Qtr %,18.40%,19.68%,18.85%,17.78%,16.79%,16.17%,17.98%,16.92%,-4.51%,14.78%,14.18%
Depreciation Qtr Cr,51.3,50.5,51.2,49.6,48.5,47.9,51.1,48.6,49.9,44.4,42.5
Interest Qtr Cr,0.9,0.8,0.9,1,0.9,0.9,2.5,0.9,0.9,0.9,1.1
Profit Before Tax Qtr Cr,300.7,277.2,256.9,229.6,170.7,186,191,152.7,-56.6,110.1,124.1
Tax Qtr Cr,75,70.1,66.2,58.8,42.5,46.4,49.4,39.3,-14.2,31.7,39.6
Net Profit Qtr Cr,225.8,207.1,190.6,170.8,128.1,139.5,141.6,113.5,-42.5,78.3,84.5
Basic EPS Qtr Rs,14.4,13.3,61,54.6,41,44.6,45.3,36.3,-13.6,25.1,27
