Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,28.6,25.5,62.5,33.9,22.8,28.4,23.4,20.5,186.1,25.8,20.3
Operating Expenses Qtr Cr,106.7,91.8,73.4,83,76.3,78.5,84.8,100,124.7,121.1,73.3
Operating Profit Qtr Cr,-78.2,-66.5,-11.3,-55.2,-54.3,-50.4,-63,-82.4,60.8,-98.4,-53.7
Operating Profit Margin Qtr %,-274.77%,-263.63%,-18.13%,-197.95%,-246.79%,-179.72%,-288.67%,-466.95%,32.77%,-433.11%,-274.03%
Depreciation Qtr Cr,2.7,2.5,2.6,2.5,2.5,2.6,2.8,2.8,2.8,2.7,2.2
Interest Qtr Cr,1.6,2.2,2.3,3.4,5.4,4,3.5,1.2,2,1.6,0.3
Profit Before Tax Qtr Cr,-82.3,-71,-15.8,-55.1,-61.4,-56.7,-67.6,-83.5,56.7,-99.5,-55.5
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Net Profit Qtr Cr,-82.3,-71,-15.8,-55.1,-61.4,-56.7,-67.6,-83.5,56.7,-99.5,-55.5
Basic EPS Qtr Rs,-3,-2.7,-0.6,-2.1,-2.3,-2.2,-2.6,-3.2,2.2,-3.8,-2.1
