Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Dec-2020
Total Revenue Qtr cr,168.9,119.4,145.2,117.1,40.3,103.6
Operating Expenses Qtr Cr,112.1,78.6,89.9,76.9,36.9,66.5
Operating Profit Qtr Cr,53.1,37.7,52.1,35.2,-5.9,30.3
Operating Profit Margin Qtr %,32.14%,32.42%,36.67%,31.39%,-19.10%,31.31%
Depreciation Qtr Cr,18.8,18.9,16.8,16.8,16,15.1
Interest Qtr Cr,6.1,6.8,5.5,5.4,5.7,5
Profit Before Tax Qtr Cr,31.9,15.2,33,18.1,-18.4,16.9
Tax Qtr Cr,7.5,2.9,9.3,-0.5,0.6,-0.8
Net Profit Qtr Cr,24.4,12.3,23.7,18.6,-19,17.8
Basic EPS Qtr Rs,4.5,2.3,4.5,3.6,-3.5,3.4
