Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,1856.5,1445.5,1585,1699.3,1559.5,974,1120.2,1256,1163.6,1165.5,1340.6
Operating Expenses Qtr Cr,1732.3,1315.3,1446.8,1533,1398.6,893.4,1005.2,1120,1021.3,1038,1251.7
Operating Profit Qtr Cr,117.3,85,97.3,156.8,149.7,70.4,72,123.5,107.2,115.8,81.5
Operating Profit Margin Qtr %,6.34%,6.07%,6.30%,9.28%,9.67%,7.31%,6.69%,9.93%,9.50%,10.03%,6.12%
Depreciation Qtr Cr,24,23.6,23.6,22.8,22.9,22,21.6,21.7,19.8,21,20.1
Interest Qtr Cr,14.4,10.9,10.8,10.9,9.7,15.4,4.1,7.2,9.5,4.8,6.7
Profit Before Tax Qtr Cr,85.8,95.7,103.8,132.6,128.2,43.2,89.3,107,113,101.8,62.1
Tax Qtr Cr,22,15.2,19.1,33,32.8,9.7,13.1,24.2,26.5,22.7,16.8
Net Profit Qtr Cr,63.8,80.5,84.7,99.5,95.4,33.5,76.2,82.8,86.5,79.1,45.4
Basic EPS Qtr Rs,3.3,4.2,4.4,5.2,5,1.8,4,4.3,4.5,4.1,2.4
