Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,281.2,273.8,269.5,313.5,248.1,251.1,204.9,307.5,189.2,207.3,265.4
Operating Expenses Qtr Cr,216.3,214.1,220.1,203.4,181.5,190.4,157.1,171,155.5,140.8,163.4
Operating Profit Qtr Cr,40.7,35.6,44.3,43.6,38.5,33.2,45.8,53.6,31.8,39.2,53.7
Operating Profit Margin Qtr %,15.84%,14.26%,16.75%,17.65%,17.50%,14.85%,22.57%,23.86%,16.96%,21.80%,24.72%
Depreciation Qtr Cr,19.4,17.7,19.5,20,20.4,20.6,22.5,23,23.4,23.8,24.5
Interest Qtr Cr,4.5,4.1,3.9,3.3,3.4,3.4,2.9,3.8,4.7,4.5,4.8
Profit Before Tax Qtr Cr,41,37.9,26,86.8,42.8,36.7,22.4,109.7,5.6,38.2,72.8
Tax Qtr Cr,6.6,3.4,5.1,7.7,3.6,1.5,2.9,15.7,1.1,4.7,12.3
Net Profit Qtr Cr,34.4,34.5,20.9,79.1,39.2,35.2,19.5,94,4.4,33.5,60.5
Basic EPS Qtr Rs,1.1,1.1,0.7,2.5,1.2,1.1,0.6,3,0.1,1.1,1.9
