Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020
Total Revenue Qtr cr,266.7,262.2,276.3,293.5,335.5,260.2,254.4,284.3,143.4
Operating Expenses Qtr Cr,184.8,166.2,174.4,186.1,220.4,172.2,175.4,175.2,105.8
Operating Profit Qtr Cr,78.1,88.3,98.8,98.1,111.1,84.4,78.7,107.2,33.8
Operating Profit Margin Qtr %,29.71%,34.68%,36.15%,34.52%,33.51%,32.89%,30.96%,37.95%,24.20%
Depreciation Qtr Cr,11.4,11.4,11.4,11.4,10.7,10.6,12.9,10.8,10.3
Interest Qtr Cr,0.4,0.5,0.6,1.1,2.2,3.1,4.3,2.8,4.5
Profit Before Tax Qtr Cr,70,84.1,89.8,94.9,102.1,74.4,61.8,95.4,22.7
Tax Qtr Cr,17.9,20.2,22.8,23.6,26,21.3,14.2,24.4,5.7
Net Profit Qtr Cr,52.1,63.9,67,71.3,76.2,53.1,47.6,71,17
Basic EPS Qtr Rs,6.5,8,8.4,8.9,9.8,7.1,6.1,9.5,2.3
