Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,64,311.5,51.6,143.3,88.4,299,52.5,368.7,46.7,96.9,52.1
Operating Expenses Qtr Cr,17.1,23.5,20.6,18.1,21.4,13.9,18.6,12.8,17.2,26.5,22.7
Operating Profit Qtr Cr,-2.3,-12.6,-12.3,8.2,20.5,39.8,21.7,-5.4,17.3,66.3,22.3
Operating Profit Margin Qtr %,-15.52%,-89.48%,-145.79%,31.15%,51.19%,72.56%,54.10%,-65.05%,50.20%,71.47%,49.60%
Depreciation Qtr Cr,2.9,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9
Interest Qtr Cr,11.7,10.9,13,12.4,7.9,9.7,4.7,7,3.8,11.1,8.7
Profit Before Tax Qtr Cr,32.2,271.1,15.2,109.8,58.2,271.3,26.5,345,22.8,56.5,17.8
Tax Qtr Cr,0.4,33,-2.8,4.7,10.5,13.1,6.6,-0.5,6.1,13.6,6.8
Net Profit Qtr Cr,31.9,238.1,17.9,105.1,47.6,258.3,19.8,345.5,16.8,42.9,-2.6
Basic EPS Qtr Rs,3.6,26.9,2,11.9,5.4,29.4,2.3,39.6,1.9,4.9,-0.3
