Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2772.4,2832.3,2428.5,2153.6,1437.2,1782.2,1553,1226.5,804.1,1384.8,1312.8
Operating Expenses Qtr Cr,1934.1,1885.8,1706.4,1665.1,1001.2,1262.6,1145.3,993,724.5,1179.8,1110.6
Operating Profit Qtr Cr,762.1,885.9,673.9,430.9,393.1,470.4,362.9,194.2,-24.2,162.7,167
Operating Profit Margin Qtr %,28.26%,31.96%,28.31%,20.56%,28.19%,27.14%,24.06%,16.36%,-3.46%,12.12%,13.07%
Depreciation Qtr Cr,75.6,74.4,76.7,70.9,69.7,68.5,69.7,68.1,66,66.2,66.9
Interest Qtr Cr,1.7,0.8,1.1,0.8,0.8,1.3,0.9,6,11.7,2.2,1.3
Profit Before Tax Qtr Cr,761,871.3,644.2,416.9,365.5,449.8,337.1,159.4,1.9,136.5,133.9
Tax Qtr Cr,192,228.1,105.9,134.6,125.7,140.9,97,20.8,0.4,-102.2,22.1
Net Profit Qtr Cr,569,643.3,538.3,282.3,239.9,308.9,240.1,138.7,1.5,238.8,111.8
Basic EPS Qtr Rs,36.6,41.4,34.6,18.2,15.4,19.9,15.4,8.9,0.1,15.4,7.2
