Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,885.7,794,836.5,876.1,773.7,749.4,736.1,762.8,574,614.8,581.7
Operating Expenses Qtr Cr,664,578.5,570.7,590.9,509.7,501,487.6,425.7,387.4,454.8,392.3
Operating Profit Qtr Cr,186.3,187.2,237.9,232.8,233,247.1,245.6,250.8,173.4,105.8,138.3
Operating Profit Margin Qtr %,21.91%,24.44%,29.42%,28.27%,31.37%,33.03%,33.49%,37.08%,30.92%,18.88%,26.06%
Depreciation Qtr Cr,30.8,30.1,30.7,30.4,29.8,29.5,27.9,27.2,26.9,24.9,22.5
Interest Qtr Cr,0.6,7.2,0.7,0.1,1.2,2.2,2.2,1.4,1.2,2.9,0.8
Profit Before Tax Qtr Cr,190.3,178.3,234.4,254.8,233.1,216.8,218.3,308.5,158.5,129.6,165.8
Tax Qtr Cr,40,43.5,39.6,57.9,39.6,62,38.4,83.3,42.8,41.1,57.5
Net Profit Qtr Cr,150.4,134.8,194.7,196.8,193.5,154.8,179.9,225.2,115.7,88.5,108.3
Basic EPS Qtr Rs,11.7,15.8,22.5,22.8,22.4,17.9,20.8,25.8,13.3,10.1,12.4
