Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2499.3,1946.8,2270.2,1951.8,1635.2,1818.3,1877.1,1549.8,833.2,1283.3,1515.6
Operating Expenses Qtr Cr,2114.9,1613.7,1912.6,1633.7,1398.4,1494.4,1483.7,1234.9,712.6,983.9,1241.2
Operating Profit Qtr Cr,373.7,314.2,343.6,303.9,220.8,302.7,378.2,301.4,113.5,190.9,260.6
Operating Profit Margin Qtr %,15.02%,16.30%,15.23%,15.69%,13.64%,16.84%,20.31%,19.62%,13.74%,16.25%,17.35%
Depreciation Qtr Cr,55.6,51.8,49.4,48.9,47.5,47.6,46.8,47.3,44.4,43.2,42.9
Interest Qtr Cr,14,11.7,12.3,11,7.9,9.2,6.2,9,8.8,9.6,8.8
Profit Before Tax Qtr Cr,314.8,269.6,295.9,258.2,181.4,252.3,340.4,258.5,67.4,246.6,222.7
Tax Qtr Cr,80.4,66.9,75.6,66.4,46.3,67.6,86.8,65.8,17.6,51.9,57.1
Net Profit Qtr Cr,234.4,202.7,220.3,191.8,135.1,184.7,253.6,192.7,49.8,194.7,165.6
Basic EPS Qtr Rs,2.4,2.1,2.3,2,1.4,2,2.6,2,0.5,2,1.7
