Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2016.1,1112.2,1026.1,916.7,816,738.1,700.1,698.8,822.9,1043.9,1126.1
Operating Expenses Qtr Cr,1522.2,813.2,631.8,594.6,558.7,469.1,506.6,490.1,618.2,776,880.9
Operating Profit Qtr Cr,475.1,267.9,369.8,207.6,199.3,260.2,185.2,181.9,186.2,239.9,210.8
Operating Profit Margin Qtr %,23.79%,24.78%,36.92%,25.88%,26.30%,35.68%,26.77%,27.06%,23.15%,23.62%,19.31%
Depreciation Qtr Cr,79.6,78,79,82.3,88.4,87.3,90,90.4,90.3,91.4,92.7
Interest Qtr Cr,30.2,25.8,31,34.6,35.6,41.9,46,55.6,66.7,66.9,79.6
Profit Before Tax Qtr Cr,504.1,195.2,284.3,205.2,133.4,139.7,57.6,62.7,47.8,109.6,96
Tax Qtr Cr,159.9,38.4,93,72.4,44.5,52.2,22.5,27.3,19.6,14.6,-167.2
Net Profit Qtr Cr,344.2,156.8,191.2,132.8,88.9,87.5,35.1,35.4,28.2,95.1,263.2
Basic EPS Qtr Rs,2.1,0.9,1.2,0.8,0.5,0.5,0.2,0.2,0.2,0.6,1.6
