Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,2014.6,1623.2,1452,1625.2,1354.6,1792.5,1522.3,1634.3,1041.2,1379.3,1310.7
Operating Expenses Qtr Cr,1866.3,1474.8,1360.7,1477.7,1285.1,1589.7,1393.4,1418.3,980.4,1216.6,1181.6
Operating Profit Qtr Cr,117.4,135.8,74.4,129.4,55.5,189.7,100.6,181.2,46.6,137,89.7
Operating Profit Margin Qtr %,5.92%,8.43%,5.18%,8.05%,4.14%,10.66%,6.73%,11.33%,4.54%,10.12%,7.05%
Depreciation Qtr Cr,41.2,37.9,32.7,32.6,33.1,36.2,35.1,42.4,28.4,35.7,29.4
Interest Qtr Cr,2.1,4,1.1,5.9,3.7,0.2,6.8,0.9,7.4,8,3.1
Profit Before Tax Qtr Cr,105,106.5,57.5,106.9,32.7,166.3,87,172.6,25.1,118.9,96.7
Tax Qtr Cr,27.1,27,16,28.4,9.3,42.5,22.7,44,8.7,31.5,23.5
Net Profit Qtr Cr,77.9,79.5,41.5,78.5,23.3,123.8,64.4,128.6,16.5,87.4,73.2
Basic EPS Qtr Rs,6.1,6.3,3.3,6.2,1.8,9.8,5.1,10.1,1.3,6.9,5.8
