Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,913.5,899,854.3,816.1,811.9,780.7,772.8,724.5,752.3,808.9,777.3
Operating Expenses Qtr Cr,873.3,860.6,813.1,779.7,718.4,738.4,722.9,671.7,700.1,739.3,725.1
Operating Profit Qtr Cr,37,34,38.6,33.3,40.2,36.9,45.9,44.8,43.4,46.6,49.3
Operating Profit Margin Qtr %,4.06%,3.80%,4.53%,4.09%,5.30%,4.76%,5.97%,6.25%,5.84%,5.93%,6.36%
Depreciation Qtr Cr,11.2,10.9,9.3,8.8,8.8,10.4,10.3,10.5,10.2,13.8,13.9
Interest Qtr Cr,14.1,14.1,13.9,13.9,14.2,15.3,15.8,17.9,21.2,20.9,19.3
Profit Before Tax Qtr Cr,14.9,13.5,17.9,13.6,70.5,16.6,23.7,24.4,20.8,34.9,19
Tax Qtr Cr,-10.5,-13.3,-10,-1.8,6.7,9.1,4.5,8.7,6.2,88.5,-17.7
Net Profit Qtr Cr,25.3,26.7,28,15.4,63.8,7.6,19.2,15.7,14.7,-53.6,36.7
Basic EPS Qtr Rs,1.7,1.8,1.9,1.1,4.3,0.5,1.3,1.1,1,-3.7,5
