Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,3340.8,3308,2933.2,2294.2,2041.8,3035.3,2928.2,2223.1,884.5,2325.7,2499.4
Operating Expenses Qtr Cr,2459.7,2439.7,2257,1739.2,1573.3,2278.9,2146.1,1639.5,768,1726.2,1768.3
Operating Profit Qtr Cr,788.2,755,581.4,442.7,334.5,643.5,658,483.8,1.2,453.2,595.2
Operating Profit Margin Qtr %,24.27%,23.63%,20.48%,20.29%,17.53%,22.02%,23.47%,22.78%,0.15%,20.80%,25.18%
Depreciation Qtr Cr,114.2,117.4,109.5,108.2,110.5,123.4,121.9,103.6,97.1,107.9,94.2
Interest Qtr Cr,2.5,1.9,4.9,1.6,1.9,2.2,2.2,1.8,3,2.5,2.7
Profit Before Tax Qtr Cr,764.3,749,561.8,445.2,356.1,630.7,658,478.2,16.3,489.1,634.1
Tax Qtr Cr,184.1,195.6,139.6,101.8,88.9,162.7,169.6,117.3,4,142.9,145.2
Net Profit Qtr Cr,580.2,553.4,422.3,343.4,267.2,468.1,488.5,360.9,12.3,346.2,488.9
Basic EPS Qtr Rs,21.2,20.2,15.4,12.6,9.8,17.1,17.9,13.2,0.5,126.8,179.1
