Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,908.5,934.8,816.6,786.2,596.2,818.9,742.3,635.3,223.9,593,680.2
Operating Expenses Qtr Cr,681.2,680.8,595.2,592.6,473.5,620.8,561.7,506.1,247.9,498.5,557
Operating Profit Qtr Cr,222.8,244.8,216.6,188.7,120.4,182.2,177,123.7,-25.9,92.6,118.6
Operating Profit Margin Qtr %,24.64%,26.45%,26.68%,24.15%,20.27%,22.69%,23.96%,19.64%,-11.67%,15.67%,17.55%
Depreciation Qtr Cr,38.7,38.4,42,38.6,36.2,33.8,32.6,32.2,28.8,35,33.1
Interest Qtr Cr,24.9,26.9,27.7,31.2,31.8,30.2,34.3,37.9,36.1,34.1,36.5
Profit Before Tax Qtr Cr,163.6,188.6,151.8,123.8,54.8,134.1,113.7,59.1,-89,25.4,50.1
Tax Qtr Cr,56.8,59.7,51.7,42.6,17.3,49.4,40.3,21.7,-32.2,-30.4,16.9
Net Profit Qtr Cr,106.8,129,100.1,81.2,37.4,84.7,73.5,37.4,-56.7,55.8,33.2
Basic EPS Qtr Rs,4.4,5.3,4.1,3.3,1.5,3.5,3,1.5,-2.3,2.3,1.4
