Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,13.1,14.6,66,11.9,11.3,14.5,54.1,10.2,13,20.3,71.5
Operating Expenses Qtr Cr,14.7,14.3,24.2,8.8,10.3,12.5,14.8,7.2,9.8,18.5,31.2
Operating Profit Qtr Cr,-3.1,-1.4,-0.9,-0.2,-1.1,-0.2,-0.1,0.3,-0.3,-2.5,-1.5
Operating Profit Margin Qtr %,-26.42%,-11.15%,-3.88%,-1.77%,-11.46%,-1.81%,-0.71%,4.59%,-3.22%,-15.68%,-4.91%
Depreciation Qtr Cr,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Interest Qtr Cr,1.5,1.6,1.5,2.8,1.9,2,2.2,2.5,3.4,4,4.4
Profit Before Tax Qtr Cr,-3.2,-1.5,40.2,0.2,-1.1,-0.2,37,0.4,-0.4,-2.3,35.7
Tax Qtr Cr,0,0.1,7.9,0,0,-0,7.9,0.1,0,-0.7,2.3
Net Profit Qtr Cr,-3.2,-1.6,32.3,0.2,-1.1,-0.2,29.1,0.3,-0.4,-1.7,33.3
Basic EPS Qtr Rs,-0.1,-0.1,1,0,0,0,0.9,0,0,-0.1,1
