Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,4625.9,3961.9,3768.3,3273.5,3532.2,3676.6,3554.6,2904.7,2368.9,2915.7,3201.5
Operating Expenses Qtr Cr,3308.9,3134.8,3167.2,2534.1,2411.5,2644.6,2747.3,2172.1,1581.5,2224.3,2588.5
Operating Profit Qtr Cr,684.5,790.4,567.9,703.2,959.7,976.8,767.8,680.3,595.2,603.2,547.4
Operating Profit Margin Qtr %,17.14%,20.14%,15.20%,21.72%,28.47%,26.97%,21.84%,23.85%,27.34%,21.33%,17.46%
Depreciation Qtr Cr,153.9,151.5,169.8,125.7,130.3,125.4,125.7,128.7,128.9,137.9,148.7
Interest Qtr Cr,25.1,21.4,25.2,21.5,23.9,20.4,23.3,18.4,18.3,23.1,23.7
Profit Before Tax Qtr Cr,1138,654.3,340.4,592.2,966.5,886.1,658.3,585.5,640.2,530.4,440.7
Tax Qtr Cr,90,159.1,88.8,151,243.4,221.5,161.2,145,186.8,131.3,-14.2
Net Profit Qtr Cr,1047.9,495.2,251.7,441.2,723.1,664.6,497.1,440.5,453.4,399.1,454.9
Basic EPS Qtr Rs,5.3,2.5,1.3,2.2,3.6,3.4,2.5,2.2,2.3,2,2.3
