Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,517.5,621.9,474.7,439.3,394.3,376.7,366.8,283.3,213,238.3,224.1
Operating Expenses Qtr Cr,384.9,490.9,365.4,337.3,277.3,262.6,268.1,211.1,159.5,182,178.2
Operating Profit Qtr Cr,129.9,128.1,106.9,97.9,114.3,109.1,96.7,69.8,51.1,53.5,43.5
Operating Profit Margin Qtr %,25.24%,20.70%,22.64%,22.49%,29.19%,29.36%,26.50%,24.85%,24.25%,22.72%,19.62%
Depreciation Qtr Cr,7.4,7.3,7.5,7.6,6.8,5.5,5.6,6.6,5.6,7.7,5.7
Interest Qtr Cr,1,2.8,2.2,1.5,0.6,0.9,1.6,1.5,1.3,2.8,2.9
Profit Before Tax Qtr Cr,124.1,121,99.7,93,109.5,107.8,91.5,64.1,46.6,45.8,37.2
Tax Qtr Cr,31.5,39.3,24.8,23.4,27.7,28.6,21.4,16.4,11.9,13.4,10.5
Net Profit Qtr Cr,92.7,81.7,74.9,69.6,81.8,79.2,70.2,47.7,34.7,32.4,26.7
Basic EPS Qtr Rs,28.6,25.2,23.1,21.5,25.2,24.4,21.7,14.7,10.7,10,8.2
