Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Dec-2020
Total Revenue Qtr cr,67.2,77.3,57.3,41.8,41,45.8
Operating Expenses Qtr Cr,124.2,122.1,170.6,140.6,79.3,34.9
Operating Profit Qtr Cr,-95.8,-90.9,-144.2,-117.7,-56.6,-5.1
Operating Profit Margin Qtr %,-336.46%,-292.06%,-545.79%,-514.58%,-248.73%,-16.92%
Depreciation Qtr Cr,0.9,0.9,1,1,1,1
Interest Qtr Cr,0.2,0.3,0.3,0.3,0.3,0.3
Profit Before Tax Qtr Cr,-58.2,-39.7,-120.5,-100.2,-39.8,9.4
Tax Qtr Cr,0,-0.6,0,0,0,1.6
Net Profit Qtr Cr,-58.2,-39.2,-120.5,-100.2,-39.8,7.8
Basic EPS Qtr Rs,-1.3,-0.9,-2.8,-2.6,-0.9,0.2
