Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,269.1,277.8,286,271.3,270.2,267.2,279.9,260,247.8,261.4,258.8
Operating Expenses Qtr Cr,148.4,151.6,164.3,154.2,150.6,140.7,148.2,138.1,125.6,143.8,122.8
Operating Profit Qtr Cr,118,121.2,120,114.5,117.4,124.6,130.3,118.5,117.7,118.5,131.8
Operating Profit Margin Qtr %,44.29%,44.44%,42.20%,42.61%,43.80%,46.98%,46.79%,46.18%,48.36%,45.77%,51.65%
Depreciation Qtr Cr,39.9,39.1,39.4,42,39.7,40.8,42.2,43.3,42.5,40.5,52.2
Interest Qtr Cr,375.9,367.8,384.6,388.7,398.3,374,387.5,406.8,382.2,372.1,354.2
Profit Before Tax Qtr Cr,-295.1,-280.6,-302.3,-313.6,-318.4,-288.3,-297.9,-341.2,-1069.3,-874,-276.9
Tax Qtr Cr,0,0,0,0,0,0,0,0,0,0,0
Net Profit Qtr Cr,-295.1,-280.6,-302.3,-313.6,-318.4,-288.3,-297.9,-341.2,-1069.3,-874,-276.9
Basic EPS Qtr Rs,-1.5,-1.4,-1.6,-1.6,-1.6,-1.5,-1.5,-1.8,-5.5,-4.5,-1.4
