Indicator,Jun-2022,Mar-2022,Dec-2021,Sep-2021,Jun-2021,Mar-2021,Dec-2020,Sep-2020,Jun-2020,Mar-2020,Dec-2019
Total Revenue Qtr cr,7296.7,6463.8,5825.3,5635.5,3827.6,4463.4,3735.6,3720.7,2042.3,4385.8,4580.2
Operating Expenses Qtr Cr,5932.8,5623.8,4862.6,4131.9,3022.4,3583.4,3026.2,3040.3,2088.6,3918.4,4085.5
Operating Profit Qtr Cr,1320.2,752.6,922.1,801.2,740.2,810.9,645.6,397.9,-145,394.1,413.4
Operating Profit Margin Qtr %,18.20%,11.80%,15.94%,16.24%,19.67%,18.45%,17.58%,11.57%,-7.46%,9.14%,9.19%
Depreciation Qtr Cr,255.1,282.9,221.8,207.5,201.8,214.5,200.2,215.3,212.6,222.7,212.3
Interest Qtr Cr,86.7,80.6,53.4,55.1,58.1,53.6,50.7,75.7,78.4,72.4,67.3
Profit Before Tax Qtr Cr,1022.1,407.3,687.5,1241.1,545.3,588.6,458.5,389.4,-395.1,178.6,204.8
Tax Qtr Cr,213.6,-406.3,198.5,294.2,99.3,125.6,126.2,29.1,-126,-178.5,20.2
Net Profit Qtr Cr,808.6,1068,522.5,979.1,481.6,480.2,359.4,360.2,-269.1,357.1,184.7
Basic EPS Qtr Rs,12.3,16.3,8,14.9,7.3,7.3,5.5,5.5,-4.1,5.4,2.8
